Row,Timestamp,Throughput (Tons/Hr),P_Primary (kW),P_Secondary (kW),T_Primary (°C),Status,%E_Thermal,%E_Solar,Planned Downtime (Hrs),Unplanned Downtime (Hrs),Alert Type
1,2025-11-08 17:30:00,4550.5,1350.2,750.8,65.1,Running,75,25,0,0,None
2,2025-11-08 20:30:00,4480.1,1320.5,745.3,64.8,Running,70,30,0,0,None
3,2025-11-08 23:30:00,4300.9,1280.9,710.1,68.3,Running,80,20,0,0,None
4,2025-11-09 2:30:00,250,150,80,45.2,Idle,90,10,0,0,None
5,2025-11-09 5:30:00,0,0,0,40.5,Maintenance,100,0,4,0,None
6,2025-11-09 8:30:00,4100.2,1250,690.5,69.5,Running,85,15,0,0,None
7,2025-11-09 11:30:00,3850.7,1190.3,660.2,71.1,Running,65,35,0,0,Optimization Opportunity
8,2025-11-09 14:30:00,3700.5,1150.8,630.9,73.5,Running,60,40,0,0,None
9,2025-11-09 17:30:00,4600.8,1380.1,770.6,63.9,Running,70,30,0,0,None
10,2025-11-09 20:30:00,4590.2,1375.5,765.2,64.1,Running,75,25,0,0,None
11,2025-11-09 23:30:00,4350.6,1290,720.5,67.5,Running,80,20,0,0,None
12,2025-11-10 2:30:00,450,200,100,46.8,Idle,95,5,0,0,None
13,2025-11-10 5:30:00,0,0,0,41.2,Maintenance,100,0,0,3.5,Motor Trip
14,2025-11-10 8:30:00,4200.1,1270.2,700.8,68.8,Running,80,20,0,0,None
15,2025-11-10 11:30:00,4000.5,1230.7,680.3,70.5,Running,60,40,0,0,None
16,2025-11-10 14:30:00,3900,1200,650,72.8,Running,55,45,0,0,Optimization Opportunity
17,2025-11-10 17:30:00,4700.3,1400.5,780.9,63.5,Running,70,30,0,0,None
18,2025-11-10 20:30:00,4650.9,1390.8,775.2,63.7,Running,75,25,0,0,None
19,2025-11-10 23:30:00,4400.4,1300.2,730,67.1,Running,85,15,0,0,None
20,2025-11-11 2:30:00,500,220,110,47.5,Idle,90,10,0,0,None
21,2025-11-11 5:30:00,0,0,0,42,Maintenance,100,0,8,0,None
22,2025-11-11 8:30:00,4300,1280,710,68,Running,80,20,0,0,None
23,2025-11-11 11:30:00,4100.5,1240.5,690.5,69.8,Running,65,35,0,0,High Vibration
24,2025-11-11 14:30:00,4000.2,1210.8,660.2,71.5,Running,60,40,0,0,None
25,2025-11-11 17:30:00,4800,1420,790,63.1,Running,70,30,0,0,None
26,2025-11-11 20:30:00,4750.5,1410.2,785.5,63.3,Running,75,25,0,0,None
27,2025-11-11 23:30:00,4500.1,1320.5,740.1,66.8,Running,80,20,0,0,None
28,2025-11-12 2:30:00,400,180,90,46,Idle,95,5,0,0,None
29,2025-11-12 5:30:00,0,0,0,40.8,Maintenance,100,0,0,1.5,Chute Blockage
30,2025-11-12 8:30:00,4400.5,1300.7,720.8,67.5,Running,80,20,0,0,None
31,2025-11-12 11:30:00,4200,1260,700,69.3,Running,60,40,0,0,None
32,2025-11-12 14:30:00,4100.5,1230.5,680.5,71,Running,55,45,0,0,Optimization Opportunity
33,2025-11-12 17:30:00,4900.2,1440.8,800.2,62.9,Running,70,30,0,0,None
34,2025-11-12 20:30:00,4850.7,1430.1,795.5,63,Running,75,25,0,0,None
35,2025-11-12 23:30:00,4600.3,1340.5,750.9,66.5,Running,85,15,0,0,None
36,2025-11-13 2:30:00,300,160,85,45.5,Idle,90,10,0,0,None
37,2025-11-13 5:30:00,0,0,0,40,Maintenance,100,0,6,0,None
38,2025-11-13 8:30:00,4500.1,1320.2,740.8,67,Running,80,20,0,0,None
39,2025-11-13 11:30:00,4300.5,1280.7,710.3,68.8,Running,65,35,0,0,None
40,2025-11-13 14:30:00,4200,1250,690,70.5,Running,60,40,0,0,High Temperature
41,2025-11-13 17:30:00,5000.5,1460.5,810.9,62.7,Running,70,30,0,0,None
42,2025-11-13 20:30:00,4950,1450.8,805.2,62.8,Running,75,25,0,0,None
43,2025-11-13 23:30:00,4700.5,1360.2,760,66,Running,80,20,0,0,None
44,2025-11-14 2:30:00,200,140,70,44.9,Idle,95,5,0,0,None
45,2025-11-14 5:30:00,0,0,0,39.5,Maintenance,100,0,0,2,Power Fluctuation
46,2025-11-14 8:30:00,4600,1340.7,750.8,66.5,Running,80,20,0,0,None
47,2025-11-14 11:30:00,4400.5,1300,720.3,68.3,Running,60,40,0,0,None
48,2025-11-14 14:30:00,4300.2,1270.5,700.5,70,Running,55,45,0,0,Optimization Opportunity
49,2025-11-14 17:30:00,4800.5,1420.2,790.2,63.3,Running,70,30,0,0,None
50,2025-11-14 20:30:00,4750,1410,785,63.4,Running,75,25,0,0,None
51,2025-11-14 23:30:00,4550.6,1330.5,745.5,66.3,Running,80,20,0,0,None
52,2025-11-15 2:30:00,350,170,88,45.8,Idle,90,10,0,0,None
53,2025-11-15 5:30:00,0,0,0,40.2,Maintenance,100,0,5,0,None
54,2025-11-15 8:30:00,4700.1,1360.8,760.5,66,Running,80,20,0,0,None
55,2025-11-15 11:30:00,4500.5,1320.2,730,67.8,Running,65,35,0,0,High Vibration
56,2025-11-15 14:30:00,4400,1290.5,710.2,69.5,Running,60,40,0,0,None
57,2025-11-15 17:30:00,4900.5,1440.2,800.5,62.6,Running,70,30,0,0,None
58,2025-11-15 20:30:00,4850,1430,795,62.7,Running,75,25,0,0,None
59,2025-11-15 23:30:00,4650.1,1350.5,755.5,65.8,Running,85,15,0,0,None
60,2025-11-16 2:30:00,250,155,75,45,Idle,90,10,0,0,None
61,2025-11-16 5:30:00,0,0,0,39.8,Maintenance,100,0,0,4,Bearing Failure
62,2025-11-16 8:30:00,4800.5,1380.2,770.8,65.5,Running,80,20,0,0,None
63,2025-11-16 11:30:00,4600,1340.7,740.3,67.3,Running,60,40,0,0,None
64,2025-11-16 14:30:00,4500.5,1310,720.5,69,Running,55,45,0,0,Optimization Opportunity
65,2025-11-16 17:30:00,5000.1,1460.8,810.2,62.4,Running,70,30,0,0,None
66,2025-11-16 20:30:00,4950.6,1450.1,805.5,62.5,Running,75,25,0,0,None
67,2025-11-16 23:30:00,4750.2,1370.5,765.9,65.6,Running,80,20,0,0,None
68,2025-11-17 2:30:00,400,190,95,46.3,Idle,95,5,0,0,None
69,2025-11-17 5:30:00,0,0,0,40.7,Maintenance,100,0,7,0,None
70,2025-11-17 8:30:00,4900,1400.5,780.8,65,Running,80,20,0,0,None
71,2025-11-17 11:30:00,4700.5,1360,750.3,66.8,Running,65,35,0,0,None
72,2025-11-17 14:30:00,4600.2,1330.5,730.5,68.5,Running,60,40,0,0,High Temperature
73,2025-11-17 17:30:00,4500.8,1310.2,720.2,69,Running,70,30,0,0,None
74,2025-11-17 20:30:00,4450.1,1300,715,69.1,Running,75,25,0,0,None
75,2025-11-17 23:30:00,4250.6,1260.5,695.5,70,Running,85,15,0,0,None
76,2025-11-18 2:30:00,500,210,105,47,Idle,90,10,0,0,None
77,2025-11-18 5:30:00,0,0,0,41.5,Maintenance,100,0,0,1,Screen Tear
78,2025-11-18 8:30:00,4300,1270.2,700.8,69.5,Running,80,20,0,0,None
79,2025-11-18 11:30:00,4100.5,1230.7,680.3,71.3,Running,60,40,0,0,Optimization Opportunity
80,2025-11-18 14:30:00,4000,1200,650,73.5,Running,55,45,0,0,None
81,2025-11-18 17:30:00,4200.5,1250,690,70,Running,70,30,0,0,None
82,2025-11-18 20:30:00,4150,1240.5,685.5,70.1,Running,75,25,0,0,None
83,2025-11-18 23:30:00,3950.5,1200.8,665.9,71,Running,80,20,0,0,None
84,2025-11-19 2:30:00,600,240,120,48,Idle,95,5,0,0,None
85,2025-11-19 5:30:00,0,0,0,42.5,Maintenance,100,0,6.5,0,None
86,2025-11-19 8:30:00,4000.1,1210.2,670.8,70.5,Running,80,20,0,0,None
87,2025-11-19 11:30:00,3800.5,1170.7,640.3,72.3,Running,65,35,0,0,High Vibration
88,2025-11-19 14:30:00,3700,1140,610,74.5,Running,60,40,0,0,None
89,2025-11-19 17:30:00,4400.5,1290,720,68,Running,70,30,0,0,None
90,2025-11-19 20:30:00,4350,1280.5,715.5,68.1,Running,75,25,0,0,None
91,2025-11-19 23:30:00,4150.6,1240.8,695.9,69,Running,85,15,0,0,None
92,2025-11-20 2:30:00,700,260,130,48.5,Idle,90,10,0,0,None
93,2025-11-20 5:30:00,0,0,0,43,Maintenance,100,0,0,2.5,Liner Wear
94,2025-11-20 8:30:00,4200,1250.2,690.8,68.5,Running,80,20,0,0,None
95,2025-11-20 11:30:00,4000.5,1210.7,660.3,70.3,Running,60,40,0,0,Optimization Opportunity
96,2025-11-20 14:30:00,3900,1180,630,72.5,Running,55,45,0,0,None
97,2025-11-20 17:30:00,4600.5,1340,750,66,Running,70,30,0,0,None
98,2025-11-20 20:30:00,4550,1330.5,745.5,66.1,Running,75,25,0,0,None
99,2025-11-20 23:30:00,4350.5,1270.8,715.9,67,Running,80,20,0,0,None
100,2025-11-21 2:30:00,800,280,140,49,Idle,95,5,0,0,None
101,2025-11-21 5:30:00,0,0,0,43.5,Maintenance,100,0,5.5,0,None
102,2025-11-21 8:30:00,4400.1,1290.2,720.8,67.5,Running,80,20,0,0,None
103,2025-11-21 11:30:00,4200.5,1250.7,690.3,69.3,Running,65,35,0,0,None
104,2025-11-21 14:30:00,4100,1220,670,71.5,Running,60,40,0,0,High Temperature
105,2025-11-21 17:30:00,4800.5,1400.5,780.9,64,Running,70,30,0,0,None
106,2025-11-21 20:30:00,4750,1390.8,775.2,64.1,Running,75,25,0,0,None
107,2025-11-21 23:30:00,4550.5,1320.2,740,67,Running,85,15,0,0,None
108,2025-11-22 2:30:00,400,185,92,46.5,Idle,90,10,0,0,None
109,2025-11-22 5:30:00,0,0,0,41,Maintenance,100,0,0,3,Motor Trip
110,2025-11-22 8:30:00,4500,1310.2,730.8,67,Running,80,20,0,0,None
111,2025-11-22 11:30:00,4300.5,1270.7,700.3,68.8,Running,60,40,0,0,None
112,2025-11-22 14:30:00,4200,1240,680,70.5,Running,55,45,0,0,Optimization Opportunity
113,2025-11-22 17:30:00,4900.5,1430.5,790.9,63.5,Running,70,30,0,0,None
114,2025-11-22 20:30:00,4850,1420.8,785.2,63.6,Running,75,25,0,0,None
115,2025-11-22 23:30:00,4650.5,1350.2,750,66.5,Running,80,20,0,0,None
116,2025-11-23 2:30:00,350,165,82,45.3,Idle,95,5,0,0,None
117,2025-11-23 5:30:00,0,0,0,39.9,Maintenance,100,0,8.5,0,None
118,2025-11-23 8:30:00,4600,1330.2,740.8,66,Running,80,20,0,0,None
119,2025-11-23 11:30:00,4400.5,1290.7,710.3,67.8,Running,65,35,0,0,High Vibration
120,2025-11-23 14:30:00,4300,1260,690,69.5,Running,60,40,0,0,None
121,2025-11-23 17:30:00,5000.5,1460.5,810.9,62.5,Running,70,30,0,0,None
122,2025-11-23 20:30:00,4950,1450.8,805.2,62.6,Running,75,25,0,0,None
123,2025-11-23 23:30:00,4750.5,1370.2,760,65.5,Running,85,15,0,0,None
124,2025-11-24 2:30:00,500,215,107,47.2,Idle,90,10,0,0,None
125,2025-11-24 5:30:00,0,0,0,41.7,Maintenance,100,0,0,1.8,Chute Blockage
126,2025-11-24 8:30:00,4700,1350.2,750.8,65,Running,80,20,0,0,None
127,2025-11-24 11:30:00,4500.5,1310.7,720.3,66.8,Running,60,40,0,0,None
128,2025-11-24 14:30:00,4400,1280,700,68.5,Running,55,45,0,0,Optimization Opportunity
129,2025-11-24 17:30:00,4600.5,1340,750,66,Running,70,30,0,0,None
130,2025-11-24 20:30:00,4550,1330.5,745.5,66.1,Running,75,25,0,0,None
131,2025-11-24 23:30:00,4350.5,1270.8,715.9,67,Running,80,20,0,0,None
132,2025-11-25 2:30:00,650,250,125,48.2,Idle,95,5,0,0,None
133,2025-11-25 5:30:00,0,0,0,42.7,Maintenance,100,0,6,0,None
134,2025-11-25 8:30:00,4800.1,1370.2,760.8,64.5,Running,80,20,0,0,None
135,2025-11-25 11:30:00,4600.5,1330.7,730.3,66.3,Running,65,35,0,0,High Temperature
136,2025-11-25 14:30:00,4500,1300,710,68,Running,60,40,0,0,None
137,2025-11-25 17:30:00,4700.5,1360.5,760.9,65.5,Running,70,30,0,0,None
138,2025-11-25 20:30:00,4650,1350.8,755.2,65.6,Running,75,25,0,0,None
139,2025-11-25 23:30:00,4450.5,1290.2,720,66.5,Running,85,15,0,0,None
140,2025-11-26 2:30:00,750,270,135,48.7,Idle,90,10,0,0,None
141,2025-11-26 5:30:00,0,0,0,43.2,Maintenance,100,0,0,1.2,Power Fluctuation
142,2025-11-26 8:30:00,4900,1400.2,780.8,64,Running,80,20,0,0,None
143,2025-11-26 11:30:00,4700.5,1360.7,750.3,65.8,Running,60,40,0,0,Optimization Opportunity
144,2025-11-26 14:30:00,4600,1330,730,67.5,Running,55,45,0,0,None
145,2025-11-26 17:30:00,4800.5,1390,770,64.5,Running,70,30,0,0,None
146,2025-11-26 20:30:00,4750,1380.5,765.5,64.6,Running,75,25,0,0,None
147,2025-11-26 23:30:00,4550.5,1320.8,745.9,65.5,Running,80,20,0,0,None
148,2025-11-27 2:30:00,450,200,100,46.8,Idle,95,5,0,0,None
149,2025-11-27 5:30:00,0,0,0,41.2,Maintenance,100,0,7.5,0,None
150,2025-11-27 8:30:00,5000.1,1420.2,790.8,63.5,Running,80,20,0,0,None
151,2025-11-27 11:30:00,4800.5,1380.7,760.3,65.3,Running,65,35,0,0,High Vibration
152,2025-11-27 14:30:00,4700,1350,740,67,Running,60,40,0,0,None
153,2025-11-27 17:30:00,4900.5,1410,780,64,Running,70,30,0,0,None
154,2025-11-27 20:30:00,4850,1400.5,775.5,64.1,Running,75,25,0,0,None
155,2025-11-27 23:30:00,4650.5,1340.8,755.9,65,Running,85,15,0,0,None
156,2025-11-28 2:30:00,550,225,112,47.7,Idle,90,10,0,0,None
157,2025-11-28 5:30:00,0,0,0,42.2,Maintenance,100,0,0,3.8,Screen Tear
158,2025-11-28 8:30:00,4400,1280.2,710.8,66.5,Running,80,20,0,0,None
159,2025-11-28 11:30:00,4200.5,1240.7,680.3,68.3,Running,60,40,0,0,Optimization Opportunity
160,2025-11-28 14:30:00,4100,1210,660,70,Running,55,45,0,0,None
161,2025-11-28 17:30:00,4300.5,1260,700,67.5,Running,70,30,0,0,None
162,2025-11-28 20:30:00,4250,1250.5,695.5,67.6,Running,75,25,0,0,None
163,2025-11-28 23:30:00,4050.5,1210.8,675.9,68.5,Running,80,20,0,0,None
164,2025-11-29 2:30:00,700,265,132,48.4,Idle,95,5,0,0,None
165,2025-11-29 5:30:00,0,0,0,42.9,Maintenance,100,0,5,0,None
166,2025-11-29 8:30:00,4100.1,1220.2,680.8,68,Running,80,20,0,0,None
167,2025-11-29 11:30:00,3900.5,1180.7,650.3,69.8,Running,65,35,0,0,High Temperature
168,2025-11-29 14:30:00,3800,1150,620,71.5,Running,60,40,0,0,None
169,2025-11-29 17:30:00,4500.5,1310.5,730.9,66,Running,70,30,0,0,None
170,2025-11-29 20:30:00,4450,1300.8,725.2,66.1,Running,75,25,0,0,None
171,2025-11-29 23:30:00,4250.5,1240.2,690,67,Running,85,15,0,0,None
172,2025-11-30 2:30:00,850,295,147,49.5,Idle,90,10,0,0,None
173,2025-11-30 5:30:00,0,0,0,44,Maintenance,100,0,0,2,Liner Wear
174,2025-11-30 8:30:00,4300.1,1260.2,700.8,67.5,Running,80,20,0,0,None
175,2025-11-30 11:30:00,4100.5,1220.7,670.3,69.3,Running,60,40,0,0,None
176,2025-11-30 14:30:00,4000,1190,640,71,Running,55,45,0,0,Optimization Opportunity
177,2025-11-30 17:30:00,4600.5,1340,750,66.5,Running,70,30,0,0,None
178,2025-11-30 20:30:00,4550,1330.5,745.5,66.6,Running,75,25,0,0,None
179,2025-11-30 23:30:00,4350.5,1270.8,715.9,67.5,Running,80,20,0,0,None
180,2025-12-01 2:30:00,900,310,155,50,Idle,95,5,0,0,None
181,2025-12-01 5:30:00,0,0,0,44.5,Maintenance,100,0,6.5,0,None
182,2025-12-01 8:30:00,4400.1,1280.2,710.8,67,Running,80,20,0,0,None
183,2025-12-01 11:30:00,4200.5,1240.7,680.3,68.8,Running,65,35,0,0,None
184,2025-12-01 14:30:00,4100,1210,660,70.5,Running,60,40,0,0,High Temperature
185,2025-12-01 17:30:00,4800.5,1390.5,770.9,64.5,Running,70,30,0,0,None
186,2025-12-01 20:30:00,4750,1380.8,765.2,64.6,Running,75,25,0,0,None
187,2025-12-01 23:30:00,4550.5,1320.2,740,67.5,Running,85,15,0,0,None
188,2025-12-02 2:30:00,600,230,115,47.5,Idle,90,10,0,0,None
189,2025-12-02 5:30:00,0,0,0,42,Maintenance,100,0,0,4.5,Bearing Failure
190,2025-12-02 8:30:00,4500,1300.2,720.8,67,Running,80,20,0,0,None
191,2025-12-02 11:30:00,4300.5,1260.7,690.3,68.8,Running,60,40,0,0,None
192,2025-12-02 14:30:00,4200,1230,670,70.5,Running,55,45,0,0,Optimization Opportunity
193,2025-12-02 17:30:00,4900.5,1420.5,790.9,64,Running,70,30,0,0,None
194,2025-12-02 20:30:00,4850,1410.8,785.2,64.1,Running,75,25,0,0,None
195,2025-12-02 23:30:00,4650.5,1350.2,750,67,Running,80,20,0,0,None
196,2025-12-03 2:30:00,750,275,137,48.9,Idle,95,5,0,0,None
197,2025-12-03 5:30:00,0,0,0,43.4,Maintenance,100,0,7,0,None
198,2025-12-03 8:30:00,4600,1320.2,740.8,66.5,Running,80,20,0,0,None
199,2025-12-03 11:30:00,4400.5,1280.7,710.3,68.3,Running,65,35,0,0,High Vibration
200,2025-12-03 14:30:00,4300,1250,690,70,Running,60,40,0,0,None
